60Minutes,60 Minutes
ABC7,ABC-7
ABC7,ABC 7
ABC7News,ABC7 News
ABC7News,ABC 7 News
AsianWeek,AsianWeek
AsianWeek,Asian Week 
BeckersHospitalReview,Becker’s Hospital Review
BeckersHospitalReview,Becker's Hospital Review
BloombergBusinessweek,Bloomberg Businessweek
BloombergBusinessweek,BloombergBusinessweek
BloombergBusinessWeek,Bloomberg BusinessWeek
BuzzfeedNews,Buzzfeed News
BuzzFeedNews,BuzzFeed News
CBSNewsHealthPop,CBS News - HealthPop
CBSNewsHealthPop,CBS News - Health Pop
CNET,CNET
CNet,CNet
DrBicuspid,DrBicuspid
DrBicuspid,Dr. Bicuspid
FastCompany,Fast Company
FastCompany,FastCompany
FierceBiotech,Fierce Biotech
FierceBiotech,FierceBiotech
FoxNews,Fox News
FOXNews,FOX News
GuardianUK,Guardian (UK)
GuardianUK,Guardian UK
HealthDay,HealthDay
HealthDay,Health Day
InformationWeek,Information Week
InformationWeek,InformationWeek
JWeekly,J Weekly
JWeekly,J. Weekly
KGOAM810SFBayArea,"KGO AM 810, SF Bay Area"
KGOAM810SFBayArea,"KGO-AM 810, SF Bay Area"
KGOTVABCCh7BayArea,"KGO-TV ABC Ch 7, Bay Area"
KGOTVABCCh7BayArea,"KGO-TV, ABC Ch 7 Bay Area"
KGOTVABCCh7BayArea,KGO-TV ABC Ch 7 Bay Area
KNTVNBCCh11BayArea,"KNTV, NBC Ch 11, Bay Area"
KNTVNBCCh11BayArea,"KNTV NBC Ch 11, Bay Area"
KRON4,KRON4
KRON4,KRON 4
KTVUCh2BayArea,"KTVU, Ch 2 Bay Area"
KTVUCh2BayArea,"KTVU Ch 2, Bay Area"
LiveScience,LiveScience
LiveScience,Live Science
Marinijcom,Marinij.com
marinijcom,marinij.com
MarinIndependentJournal,Marin Independent Journal
MarinIndependentJournal,Marin Independent-Journal
MedCityNews,Med City News
MedCityNews,MedCity News
Medgadget,Medgadget
MedGadget,MedGadget
MedPageToday,MedPage Today
Medpagetoday,Medpage today
MedpageToday,MedpageToday
MSNBCVitals,MSNBC Vitals
MSNBCVitals,MSNBC - Vitals
NBCNews,NBC News
NBCNEWS,NBC NEWS
NewsMedicalnet,News-Medical.net
NewsMedicalNet,News-Medical.Net
NewYorkTimesWellBlog,New York Times - Well Blog
NewYorkTimesWellblog,New York Times - Well blog
NPRMorningEdition,NPR Morning Edition 
NPRMorningEdition,NPR - Morning Edition 
NPRShots,NPR Shots
NPRShots,NPR - Shots
PBSNewsHour,PBS News Hour
PBSNewshour,PBS Newshour
PBSNewsHour,PBS NewsHour 
PetalumaPressDemocrat,Petaluma Press Democrat
PetalumaPressDemocrat,Petaluma Press-Democrat 
PsychCentral,Psych Central
PsychCentral,PsychCentral
SanFranciscoChronicleSubscriptionRequired,San Francisco Chronicle (Subscription Required)
SanFranciscoChroniclesubscriptionrequired,San Francisco Chronicle (subscription required)
ScienceNews,ScienceNews
ScienceNews,Science News
SFGate,SF Gate
SFGATE,SFGATE
SmartPlanet,SmartPlanet
SmartPlanet,Smart Planet
TechCrunch,TechCrunch
TechCrunch,Tech Crunch
ThinkProgress,ThinkProgress
ThinkProgress,Think Progress
ThirdAge,ThirdAge
ThirdAge,Third Age
TIME,TIME
Time,Time
TimeHealthland,Time - Healthland
TimeHealthland,Time Healthland
USNewsandWorldReport,U.S. News and World Report
USNewsandWorldReport,US News and World Report
USNewsWorldReport,US News & World Report
USNewsWorldReport,U.S. News & World Report
WebMD,WebMD
WebMD,Web MD
Wired,Wired
WIRED,WIRED
Xconomy,Xconomy
xconomy,xconomy
YahooNews,Yahoo News
YahooNews,Yahoo! News
YahooNews,Yahoo News!
YahooShine,Yahoo! Shine
YahooShine,Yahoo Shine
7Live,7Live
7x7,7x7 
7x7Magazine,7x7 Magazine
893KPCC,89.3 KPCC
981KISSFMSanFrancisco,"98.1 KISS FM, San Francisco"
AARP,AARP
AARPBlog,AARP Blog
AARPBulletin,AARP Bulletin
ABC13,ABC 13
ABC7KGOTV,ABC 7 (KGO-TV)
abc7newscom,abc7news.com
ABCNews,ABC News
ABCNewsCh10Sacramento,"ABC News Ch 10, Sacramento"
ABCNewsRadio,ABC News Radio
ABCRadioAustralia,ABC Radio - Australia
ABCWorldNewswithDianeSawyer,ABC World News with Diane Sawyer
AChildGrowsinBrooklynblog,A Child Grows in Brooklyn blog
AdvanceforNurses,Advance for Nurses
AgenceFrancePresseAFP,Agence France Presse (AFP)
Alice973,Alice 97.3
AllAfrica,All Africa
AllAfricacom,AllAfrica.com
AllNursescom,AllNurses.com
AllThingsDigital,All Things Digital
AllureMagazine,Allure Magazine
AmericanInstituteofArchitectsCaliforniaCouncil,American Institute of Architects - California Council
AmericanMedicalNews,American Medical News
AndersonCooper360,Anderson Cooper 360
ANI,ANI
AOLHealthyLiving,AOL Healthy Living
AOLLifestyleUK,AOL Lifestyle (UK)
Archinect,Archinect
Architect,Architect
ArchitecturalRecord,Architectural Record
ArchitectureWeek,Architecture Week
ArsTechnica,Ars Technica
AsianNewsInternational,Asian News International
AsiaSentinel,Asia Sentinel
AssociatedPress,Associated Press
AssociatedPressNewYorkTimesSanFranciscoChronicleWashintonPostSanJoseMercuryNewsSacramentoBeeContraCostaTimes,"Associated Press, New York Times, San Francisco Chronicle, Washinton Post, San Jose Mercury News, Sacramento Bee, Contra Costa Times"
AssociationofAmericanMedicalColleges,Association of American Medical Colleges
AtlantaJournalConstitution,Atlanta Journal-Constitution
AtlanticOnline,Atlantic Online
AtlanticWire,Atlantic Wire
BakersfieldCalifornian,Bakersfield Californian
BaltimoreSun,Baltimore Sun
